기간,전략,CAGR(%),MDD(%),누적수익(%)
2016-2019,M2,-1.13,-24.85,-4.34
2016-2019,K1,-2.71,-19.48,-10.17
2016-2019,K3,-1.94,-15.18,-7.38
2016-2019,PBR,-3.8,-22.36,-14.03
2019-2022,M2,-6.77,-23.99,-23.99
2019-2022,K1,6.91,-20.97,29.87
2019-2022,K3,4.77,-18.48,19.99
2019-2022,PBR,13.45,-19.18,63.77
2022-2025,M2,-1.98,-31.35,-6.75
2022-2025,K1,-4.65,-27.88,-15.3
2022-2025,K3,-0.23,-18.3,-0.81
2022-2025,PBR,-2.17,-18.8,-7.36
2023-2026,M2,-5.0,-34.75,-16.37
2023-2026,K1,-5.71,-27.88,-18.54
2023-2026,K3,-3.71,-25.19,-12.35
2023-2026,PBR,-0.82,-27.93,-2.84
